	class	name	lat	lon	address
248	Магазин электроники	Настроим ТВ	68.907219	33.073021999999995	ул. Баумана, 47, Мурманск, Россия
249	Магазин электроники	Fshteker.ru	59.959814	30.290146000000004	Чкаловский просп., 9/13, Санкт-Петербург, Россия
250	Салон связи	Салон-магазин МТС	56.8145	35.8848	Октябрьский просп., 103, Тверь, Россия
251	Магазин электроники	Технопарк	56.33982099999999	38.124646999999996	Новоугличское ш., 85, Сергиев Посад, Россия
252	Салон связи	Салон сотовой связи	55.590741	38.495940999999995	Россия, Московская область, Раменский район, сельское поселение Новохаритоновское, село Новохаритоново, Окружное шоссе
253	Магазин электроники	Интернет-магазин Gigatv.ru	55.610696999999995	37.60496	Кировоградская ул., 15/1, Москва, Россия
254	Магазин электроники	Синтез Партнер Владимир	56.112126	40.35738	ул. Василисина, 2А, Владимир, Россия
255	Салон связи	СервисОК	55.668615	37.591602	Нахимовский просп., 20А, Москва, Россия
256	Магазин электроники	Кибер Net	55.60966	37.606255	Кировоградская ул., 15, Москва, Россия
257	Магазин электроники	Тут-Техника	55.829052000000004	37.624157000000004	Хованская ул., 22, стр. 1, Москва, Россия
258	Салон связи	МегаФон	55.641113	37.530691	ул. Миклухо-Маклая, 32А, Москва, Россия
259	Магазин электроники	Bigplasma.ru	55.609787	37.605131	Кировоградская ул., 15, Москва, Россия
260	Салон связи	Tele2	54.619006999999996	39.800737	1, село Дядьково, Россия
261	Салон связи	МегаФон	55.891949	37.727705	ул. Селезнёва, 33, Мытищи, Россия
262	Магазин электроники	Цифровой супермаркет DNS	51.497278	46.114259000000004	ул. Максима Горького, 54, Энгельс, Россия
263	Салон связи	Билайн	55.758038	37.73986	просп. Будённого, 53, Москва, Россия
