stop_id;stop_sequence;route_id;service_id;using_trip_id;using_trip_id__next;stop_id__using_trip_id;stop_id__using_trip_id__next;time
1495;27;141500240;1;141500240_1_10_1;141500188_1_10_9;1495__500;119__270;-403.0
119;23;141500188;1;141500188_1_10_9;141500202_1_10_1;119__270;119__338;-167.0
119;19;141500202;1;141500202_1_10_1;141500282_1_10_3;119__338;120__745;72.0
120;21;141500282;1;141500282_1_10_3;141500175_1_10_2;120__745;120__188;24.0
120;22;141500175;1;141500175_1_10_2;141500188_1_10_9;120__188;120__270;72.0
120;24;141500188;1;141500188_1_10_9;141500227_1_1_1;120__270;120__451;-563.0
120;36;141500227;1;141500227_1_1_1;141500202_1_10_1;120__451;120__338;397.0
120;20;141500202;1;141500202_1_10_1;14150002_1_10_3;120__338;1690__368;-166.0
1690;11;14150002;1;14150002_1_10_3;14150002_1_10_3;1690__368;1691__368;2.0
1691;12;14150002;1;14150002_1_10_3;141500188_1_10_9;1691__368;117__270;327.0
117;21;141500188;1;141500188_1_10_9;141500202_1_10_1;117__270;117__338;-166.0
117;17;141500202;1;141500202_1_10_1;141500188_1_10_9;117__338;118__270;167.0
118;22;141500188;1;141500188_1_10_9;141500202_1_10_1;118__270;118__338;-166.0
118;18;141500202;1;141500202_1_10_1;141500167_1_1_1;118__338;1448__88;-487.0
1448;10;141500167;1;141500167_1_1_1;14150249_1_10_1;1448__88;1002837__521;975.0
1002837;12;14150249;1;14150249_1_10_1;14150244_1_10_1;1002837__521;1002837__С18;-513.0
1002837;14;14150244;1;14150244_1_10_1;14150249_1_10_1;1002837__С18;9430__521;514.0
9430;13;14150249;1;14150249_1_10_1;14150244_1_10_1;9430__521;9430__С18;-535.0
9430;3;14150244;1;14150244_1_10_1;14150249_1_10_1;9430__С18;9432__521;536.0
9432;14;14150249;1;14150249_1_10_1;14150244_1_10_1;9432__521;9432__С18;-535.0
9432;4;14150244;1;14150244_1_10_1;14150244_1_10_1;9432__С18;9436__С18;10.0
9436;9;14150244;1;14150244_1_10_1;14150233_1_11_1;9436__С18;9446__301;-390.0
